lemma;tags;ordklasse;transfertype;noter
afbigt;SPR;S;N;NA
beklemmelse;KOG;S;N;NA
bismervægt;BES;S;N;NA
blænker;MIL;S;N;NA
brødsukker;GAS;S;N;NA
dannekvinde;SAM;S;N;NA
dannemand;SAM;S;N;NA
desmerdyr;FAU;S;N;NA
desmerurt;FLO;S;N;NA
druebor;HÅN;S;N;NA
dræksjung;SAM;S;N;NA
farvelade;MUS;S;N;NA
fedtegrever;GAS;S;N;NA
flagspætte;FAU;S;N;NA
floksilke;BEK;S;N;NA
gederams;FLO;S;N;USIKKER
gifttyde;FLO;S;N;USIKKER
græskar;FLO;S;N;NA
kraftkirke;REL;S;N;NA
lunstikke;HÅN;S;N;USIKKER
marterpæl;SAM;S;N;USIKKER
nagletog;HÅN;S;N;USIKKER
pebling;SAM;S;N;NA
plyndergreve;SØF;S;N;NA
skarntyde;FLO;S;N;NA
sprydstagsejl;SØF;S;N;USIKKER
stabelafløbning;SØF;S;N;USIKKER
stervbo;SAM;S;N;NA
sølvpop;"SAM;REL";S;N;NA
tornirisk;FAU;S;N;USIKKER
vandbakkelse;GAS;S;N;USIKKER
vesselhorn;MIL;S;N;USIKKER
